Node Level 4,Key skill,Direction,Level 1,Level 2,Level 3,Link,Description,Connects To
Inversion,No,Left,One Arm,Static,Hanging,https://pub-a63668e636f74423bd8c02be5fd4da4b.r2.dev/1-arm-inversion.mp4,One-arm inverted position with body hanging upside down; suspended arm as extension of straps with pelvis stretched and feet pointing to ceiling,
2 Arm Inversion,yes,Right,Two Arm,Static,Hanging,https://pub-a63668e636f74423bd8c02be5fd4da4b.r2.dev/2-arm-inversion.mp4,Inverted hanging with both arms. Pelvis stretched with feet to ceiling.,
Armpit Beats,No,Right,Two Arm,Swing,Rotating,https://pub-a63668e636f74423bd8c02be5fd4da4b.r2.dev/armpit-beats.mp4,Swinging with straps in armpit area. Different rotation axis.,
Low Switch,No,Left,One Arm,Spin,Normal,https://pub-a63668e636f74423bd8c02be5fd4da4b.r2.dev/low-switch.mp4,Transition between positions (meathook to Flag or Flag to meathook) executed at a lower height while spinning,
Nugget,No,Left,One Arm,Spin,Center,https://pub-a63668e636f74423bd8c02be5fd4da4b.r2.dev/Nugget.mp4,One-arm spinning position with legs in.,
Press Handstand,No,Right,Two Arm,Static,Support Ii,https://pub-a63668e636f74423bd8c02be5fd4da4b.r2.dev/press-to-handstand.mp4,Controlled press to handstand. Pelvis above shoulders with open shoulders.,
Straddle Rock To Flag,No,Left,One Arm,Static,Hanging,https://pub-a63668e636f74423bd8c02be5fd4da4b.r2.dev/straddle-rock-to-flag.mp4,Movement from a straddle position rocking into a one-arm Flag (horizontal inverted position); performed as a static transition,
Straightjacket In Reverse,No,Right,Two Arm,Spin,Reverse,https://pub-a63668e636f74423bd8c02be5fd4da4b.r2.dev/straightjacket-reverse.mp4,Straightjacket position spinning in opposite direction.,
Swing To Full,No,Right,Two Arm,Swing,Twisting,https://www.youtube.com/shorts/E58MCWjGn90,Swing leading to fully extended position using momentum.,
Meathook In Reverse,No,Right,Two Arm,Spin,Reverse,https://www.youtube.com/shorts/UiYRfphWzLk,Meathook position with reverse rotation direction.,
Azarian,No,Right,Two Arm,Static,Support Ii,https://www.youtube.com/watch?v=30fUEKLW74M,Advanced static strength position. Maltese or iron cross variation.,
Roll Ups,yes,Right,Two Arm,Static,Support Ii,https://www.youtube.com/watch?v=4ENCBawZ2pk,"Rolling from tucked position, lifting pelvis to place straps above elbows.",
To Plank,No,Right,Two Arm,Swing,Twisting Ii,https://www.youtube.com/watch?v=aoJzgNtjdjQ,Swing transitioning to horizontal plank position using momentum.,
Swing To Handstand,No,Right,Two Arm,Swing,Twisting Ii,https://www.youtube.com/watch?v=CmCYdpXLccM,Using swing momentum to transition into handstand.,
Inversion To Meathook,No,Left,One Arm,Static,Hanging,https://www.youtube.com/watch?v=f9wwfI56LhQ,Transition from one-arm inverted vertical position down into meathook (horizontal side-facing position with hooked body shape),
High Switch,No,Left,One Arm,Spin,Normal,https://www.youtube.com/watch?v=FTWTzB1TrEo,Fast transition between meathook and Flag positions at the peak of movement; involves stretching through vertical position with half cat twist,
Meathook,No,Right,Two Arm,Spin,Normal,https://www.youtube.com/watch?v=MsLbJOZAW9M,Hanging with legs raised and pelvis lifted to the side. Arm held tight to body.,
Swing To Meathook,No,Right,Two Arm,Swing,Twisting,https://www.youtube.com/watch?v=PHtBZWcp0Gg,Using swing momentum to transition into meathook position.,
Bell Beats,No,Right,Two Arm,Swing,Twisting Ii,https://www.youtube.com/watch?v=py7b6Q04-nQ,Rhythmic swinging similar to rings. Arched position to dish position at vertical.,
Half Turn,No,Right,Two Arm,Swing,Twisting Ii,https://www.youtube.com/watch?v=UQ0fme2tGIo,180-degree rotation during swing. Turn initiated by feet at peak.,
Reverse Flag,No,Left,One Arm,Spin,Reverse,https://www.youtube.com/watch?v=XIhf5raHEhU,One-arm Flag position (inverted horizontal) performed with reverse/backward rotation,
Fron To Side,No,Left,One Arm,Swing,Basics,https://www.youtube.com/watch?v=xTpNrPP5crQ,One-arm swing transitioning from front-facing position to side-facing position,
Reverse Full,No,Left,One Arm,Spin,Reverse,https://www.youtube.com/watch?v=Yn-K6a9ujU0,Complete rotation performed in reverse direction on one arm,
2 Arm Skin The Cat,No,Right,Two Arm,Static,Hanging,https://youtu.be/3tQap3R4xgQ?si=l6GhHPs_EiXcoTsN,Shoulder rotation from hanging to inverted. Continuous wrist rotation throughout.,
Soleil,No,Left,One Arm,Swing,Twisting,https://youtube.com/shorts/6Jbf4Mhr8pI?si=CWrnPTBOsqJYb2C3,Twisting swing movement where body rotates around suspended arm; feet describe circular path during upward swing phase,
Front Candle,No,Left,One Arm,Spin,Center,https://youtube.com/shorts/6WDJZediu5Q?si=ZMGQ4fSUnu_ExrHh,A compact one-arm spinning position with the body close to the suspended arm,
Inloc Giants,No,Right,Two Arm,Swing,Rotating,https://youtube.com/shorts/6zuzT9qCQlk?si=U1gfY5vPGEtA-V4H,Giant swings with forward shoulder rotation pattern.,
Disloc,No,Left,One Arm,Swing,Rotating,https://youtube.com/shorts/8NfijlpC99A,"Dislocate movement on one arm; outward rotation of hanging arm and shoulder allowing body to swing to opposite side of strap, maintaining axis and direction",
Swing To Flag,No,Left,One Arm,Swing,Twisting,https://youtube.com/shorts/9h72wmKI0RY?si=XBmDrDAxc2GtuhhP,"Swinging movement that culminates in a Flag position; involves closing hips during forward swing, transitioning through vertical to horizontal inverted position",
Inloc,No,Left,One Arm,Swing,Rotating Ii,https://youtube.com/shorts/AGgargIWLX4?si=ItbhaMgTReC2ThFE,"Inlocate movement - opposite of dislocate; inward rotation pattern during swing, body passing through specific rotational positions",
Pull To Hips,No,Right,Two Arm,Swing,Twisting,https://youtube.com/shorts/aoJzgNtjdjQ,Swinging movement pulling toward hips using momentum.,
Side Push Pull,No,Right,Two Arm,Swing,Twisting Ii,https://youtube.com/shorts/aoJzgNtjdjQ,Lateral swinging with pushing and pulling actions.,
Outside Pirouette,No,Left,One Arm,Swing,Twisting,https://youtube.com/shorts/AVxbFPkoBZ8?si=tG23JR8NeuC0pnQY,Half turn rotation where body turns outward away from suspended arm during swing; initiated at peak of momentum,
Reverse Soleil,No,Left,One Arm,Swing,Twisting,https://youtube.com/shorts/BJDNpk6f0BM?si=UgI9waZNerQ1KHJ3,Twisting movement performed in reverse direction; body rotation initiated during swing phase with specific directional control,
Flare To Lockoff,No,Left,One Arm,Spin,Reverse,https://youtube.com/shorts/COJg5yzvEH0,Dynamic flaring movement transitioning to a locked static hold position while spinning in reverse,
Giants,No,Right,Two Arm,Swing,Rotating,https://youtube.com/shorts/CSCpzHYiBqA?si=d3td_sI2NW6nMx5c,Full 360-degree rotations around straps axis. Continuous circular swinging.,
Mushu,yes,Left,One Arm,Spin,Normal,https://youtube.com/shorts/cUtlEPOU4iw?si=vtgP30LsXKefMo3e,One-arm horizontal position similar to Flag but with specific body and leg configuration; named position in contemporary straps vocabulary,
Pirouette,No,Right,Two Arm,Swing,Twisting Ii,https://youtube.com/shorts/cxdtl4LmyeY?si=d2DZsl8ll79fUTOt,Full 360-degree rotation during swing phase.,
Salto,No,Left,One Arm,Swing,Rotating,https://youtube.com/shorts/ENIyf9XwSAg?si=XChsRB-e6sIWkI4O,Somersault/flip performed while swinging on one arm; requires significant momentum and body control,
Nutcracker,No,Left,One Arm,Spin,Normal,https://youtube.com/shorts/Freat_9N9FQ,One-arm position with legs separated and turned out; outer leg in hooked meathook shape; back stretched upward pushing hips toward wrist,
Flare To Flag,yes,Left,One Arm,Spin,Normal,https://youtube.com/shorts/FSWWEqdo3o8,Dynamic flaring movement transitioning into a one-arm Flag position (horizontal inverted) while spinning forward,
Inloc,No,Right,Two Arm,Swing,Rotating,https://youtube.com/shorts/G5TW1kj028g,Forward shoulder rotation. Body passes forward through arms.,
Delchev,No,Right,Two Arm,Swing,Rotating,https://youtube.com/shorts/ggkSz6urQko?si=b77McRYXk1niVMXp,Named skill involving release and re-catch with rotation.,
Back Flag,yes,Right,Two Arm,Static,Hanging,https://youtube.com/shorts/gOJ4kMs5St8,Horizontal back planche position behind the straps. Shallow angle between trunk and arms.,
Double Front,No,Left,One Arm,Swing,Rotating Ii,https://youtube.com/shorts/gxeFZ03qV98?si=O6Pl90PbagyT6wWr,Two forward rotations performed in sequence on one arm; requires high swing momentum and precise technique,
Center Spin,No,Left,One Arm,Spin,Center,https://youtube.com/shorts/H4ozywL45I8?si=tlsbjtUt5yOwcpXZ,One-arm rotation around the vertical axis with body spinning in the center between the straps,
Inversion To Flag,No,Left,One Arm,Static,Hanging,https://youtube.com/shorts/HiTTJftm8Bk?si=6LrObsWMRcBBjeMq,Transition from one-arm inverted vertical position into Flag (horizontal inverted position with extended body),
High Switch,No,Left,One Arm,Static,Hanging,https://youtube.com/shorts/ijT5BrdM0tg,Transition from meathook to Flag position through vertical alignment with legs together; involves pelvis lift and half cat twist; performed without swinging momentum,
Inside Pirouette,No,Left,One Arm,Swing,Twisting,https://youtube.com/shorts/jkp_BVnO4vA,Half turn initiated by feet at furthest swing point; body rotates inward around suspended arm while maintaining extended position,
Reverse Meathook,No,Left,One Arm,Spin,Normal,https://youtube.com/shorts/K9wC5gS7n-I?si=GwAyWCoMxH0G1Wg8,Meathook position with opposite rotation direction - inverted hanging position tilted to one side with one arm tucked to back close to pelvis,
Flare,yes,Right,Two Arm,Spin,Normal,https://youtube.com/shorts/LngeQfLsL3c,Horizontal Flag position performed in rotation. Body tilted to one side with arm tucked to back.,
Inversion To Methook,No,Right,Two Arm,Static,Hanging,https://youtube.com/shorts/MsLbJOZAW9M,Transition from inverted position into meathook. Tuck one arm while bringing feet to side.,
Flare,No,Left,One Arm,Spin,Normal,https://youtube.com/shorts/oB5ib9u2fT4,Dynamic swinging movement with body extended horizontally while spinning in reverse direction,
Split Grip To Flag,No,Left,One Arm,Spin,Reverse,https://youtube.com/shorts/obGJr1S9g9E,Transition from a split grip position into a one-arm Flag (horizontal inverted position) while spinning in reverse direction,
1.5 Arm Salto,No,Left,One Arm,Swing,Rotating,https://youtube.com/shorts/PNBN6wlqCuw?si=e1JLkU9KILCs1huF,One and a half somersault rotation performed on one arm during swing; advanced rotational movement,
